Bin Id	Bin size (Mbp)	FDP_S45.sorted: mapped reads	FDP_S45.sorted: % mapped reads	FDP_S45.sorted: % binned populations	FDP_S45.sorted: % community	FDQ_S46.sorted: mapped reads	FDQ_S46.sorted: % mapped reads	FDQ_S46.sorted: % binned populations	FDQ_S46.sorted: % community	FDR_S47.sorted: mapped reads	FDR_S47.sorted: % mapped reads	FDR_S47.sorted: % binned populations	FDR_S47.sorted: % community	FDS_S48.sorted: mapped reads	FDS_S48.sorted: % mapped reads	FDS_S48.sorted: % binned populations	FDS_S48.sorted: % community	FDT_S49.sorted: mapped reads	FDT_S49.sorted: % mapped reads	FDT_S49.sorted: % binned populations	FDT_S49.sorted: % community	FDU_S50.sorted: mapped reads	FDU_S50.sorted: % mapped reads	FDU_S50.sorted: % binned populations	FDU_S50.sorted: % community	FDV_S51.sorted: mapped reads	FDV_S51.sorted: % mapped reads	FDV_S51.sorted: % binned populations	FDV_S51.sorted: % community	FDW_S52.sorted: mapped reads	FDW_S52.sorted: % mapped reads	FDW_S52.sorted: % binned populations	FDW_S52.sorted: % community	FDX_S53.sorted: mapped reads	FDX_S53.sorted: % mapped reads	FDX_S53.sorted: % binned populations	FDX_S53.sorted: % community	FDY_S54.sorted: mapped reads	FDY_S54.sorted: % mapped reads	FDY_S54.sorted: % binned populations	FDY_S54.sorted: % community	FDZ_S55.sorted: mapped reads	FDZ_S55.sorted: % mapped reads	FDZ_S55.sorted: % binned populations	FDZ_S55.sorted: % community	FEA_S56.sorted: mapped reads	FEA_S56.sorted: % mapped reads	FEA_S56.sorted: % binned populations	FEA_S56.sorted: % community
VAMB_2649	1.616815	4287	0.0105062624014	0.0158307493756	0.0158307493756	1798	0.00595340641631	0.00913684532514	0.00913684532514	32	8.25305496501e-05	0.000148457444983	0.000148457444983	0	0.0	0.0	0.0	245	0.000820710416316	0.00125017825835	0.00125017825835	8917	0.0291631328812	0.0441582815611	0.0441582815611	15493	0.0327818486779	0.0510561210247	0.0510561210247	11966	0.0295797037056	0.045240125416	0.045240125416	2518	0.00736188125479	0.0119042057152	0.0119042057152	69380	0.226883422634	0.35155722215	0.35155722215	9558	0.0233266855452	0.0363452625757	0.0363452625757	3132	0.00802967925328	0.0116639308344	0.0116639308344
VAMB_2894	0.772277	18296	0.0448384830643	0.141446227969	0.141446227969	6238	0.0206548104699	0.0663650131533	0.0663650131533	300	0.00077372390297	0.00291380501965	0.00291380501965	35	7.82722969316e-05	0.000302669340627	0.000302669340627	6116	0.020487611862	0.0653372066328	0.0653372066328	13996	0.0457740504436	0.145105729303	0.145105729303	0	0.0	0.0	0.0	0	0.0	0.0	0.0	2	5.84740369721e-06	1.97952924372e-05	1.97952924372e-05	27	8.82942117487e-05	0.000286426187098	0.000286426187098	2	4.88108088412e-06	1.59220142797e-05	1.59220142797e-05	0	0.0	0.0	0.0
VAMB_2936	0.971584	58112	0.142416589847	0.357103237773	0.357103237773	16242	0.0537793253691	0.137349178795	0.137349178795	0	0.0	0.0	0.0	0	0.0	0.0	0.0	7	2.34488690376e-05	5.94406942173e-05	5.94406942173e-05	12	3.92461135555e-05	9.88905105667e-05	9.88905105667e-05	0	0.0	0.0	0.0	120	0.000296637510001	0.000754981001696	0.000754981001696	7	2.04659129402e-05	5.50709683376e-05	5.50709683376e-05	165	0.000539575738464	0.00139131557987	0.00139131557987	6	1.46432426524e-05	3.79675007676e-05	3.79675007676e-05	0	0.0	0.0	0.0
VAMB_3068	1.42809	27350	0.0670273563516	0.114343128917	0.114343128917	13558	0.0448922603962	0.0780022206326	0.0780022206326	9955	0.0256747381802	0.0522875170907	0.0522875170907	20452	0.0457378576242	0.0956431107932	0.0956431107932	33543	0.11236363059	0.193781588352	0.193781588352	18846	0.0616360213389	0.105661637287	0.105661637287	15	3.17387032962e-05	5.59639430672e-05	5.59639430672e-05	22	5.43835435002e-05	9.41677587672e-05	9.41677587672e-05	111	0.000324530905195	0.000594117613521	0.000594117613521	488	0.00159583612346	0.0027995375841	0.0027995375841	4	9.76216176825e-06	1.72204908961e-05	1.72204908961e-05	4	1.02550182034e-05	1.68650613449e-05	1.68650613449e-05
VAMB_3097	2.211819	3398	0.00832756697926	0.00917238149988	0.00917238149988	75620	0.250387426697	0.280901464759	0.280901464759	71	0.000183114657036	0.000240780381126	0.000240780381126	4	8.94540536362e-06	1.20776904373e-05	1.20776904373e-05	2334	0.00781852290482	0.00870597577762	0.00870597577762	6060	0.0198192873455	0.0219369763522	0.0219369763522	4179	0.00884240273833	0.0100668920562	0.0100668920562	51	0.00012607094175	0.000140946963183	0.000140946963183	37962	0.110989569577	0.131191146545	0.131191146545	890	0.00291043883172	0.0032965713553	0.0032965713553	1817	0.00443446198323	0.0050506405026	0.0050506405026	3556	0.00911671118285	0.00968045298027	0.00968045298027
VAMB_3163	3.596733	355964	0.872370233139	0.590889398827	0.590889398827	571	0.00189065353933	0.00130435204641	0.00130435204641	0	0.0	0.0	0.0	0	0.0	0.0	0.0	47	0.000157442406395	0.000107809205512	0.000107809205512	31	0.000101385793352	6.90092363536e-05	6.90092363536e-05	3	6.34774065925e-06	4.44411900771e-06	4.44411900771e-06	0	0.0	0.0	0.0	23	6.72451425179e-05	4.88792646442e-05	4.88792646442e-05	797	0.00260631432458	0.00181539936922	0.00181539936922	68	0.00016595675006	0.000116236313439	0.000116236313439	0	0.0	0.0	0.0
VAMB_3210	0.722048	35475	0.0869395051764	0.293335519645	0.293335519645	13381	0.0443061909102	0.152261259015	0.152261259015	0	0.0	0.0	0.0	0	0.0	0.0	0.0	10403	0.0348483692283	0.118866292302	0.118866292302	5595	0.0182985004452	0.0620422799216	0.0620422799216	0	0.0	0.0	0.0	0	0.0	0.0	0.0	6	1.75422110916e-05	6.35170337327e-05	6.35170337327e-05	79	0.000258342323265	0.000896361263917	0.000896361263917	4	9.76216176825e-06	3.40592465374e-05	3.40592465374e-05	0	0.0	0.0	0.0
VAMB_3242	1.153506	20643	0.0505903370079	0.106846739597	0.106846739597	12745	0.0422003141134	0.0907793141313	0.0907793141313	377	0.000972313038065	0.00245151088329	0.00245151088329	18	4.02543241363e-05	0.000104214016515	0.000104214016515	20378	0.0682630076069	0.145749773075	0.145749773075	12608	0.041234583309	0.0875145108344	0.0875145108344	63646	0.134669433999	0.293984126614	0.293984126614	14274	0.0352850318146	0.0756416451684	0.0756416451684	30099	0.0880005019411	0.199451467605	0.199451467605	53325	0.174381068204	0.378732927332	0.378732927332	52419	0.127930689432	0.279389440545	0.279389440545	60559	0.155258411845	0.316112994815	0.316112994815
VAMB_326	1.928572	229503	0.562448971289	0.710494678267	0.710494678267	300553	0.995169164984	1.28041904535	1.28041904535	23	5.9318832561e-05	8.94549365725e-05	8.94549365725e-05	5	1.11817567045e-05	1.73144074899e-05	1.73144074899e-05	389906	1.30612210442	1.66797773191	1.66797773191	180741	0.591115150844	0.75036842509	0.75036842509	61	0.000129070726738	0.000168525879761	0.000168525879761	204	0.000504283767002	0.000646590681934	0.000646590681934	129	0.00037715753847	0.000511280089212	0.000511280089212	59781	0.19549319528	0.253950678064	0.253950678064	566	0.00138134589021	0.00180435375729	0.00180435375729	127	0.000325596827959	0.000396507471967	0.000396507471967
VAMB_3260	2.127553	216555	0.530716970922	0.607709670617	0.607709670617	129270	0.428029392345	0.499211149399	0.499211149399	751106	1.93716221955	2.64809265545	2.64809265545	514854	1.15139443327	1.61613334372	1.61613334372	51309	0.171876860207	0.198966220338	0.198966220338	83853	0.274242029997	0.315567264066	0.315567264066	989852	2.09444126235	2.47891994829	2.47891994829	707127	1.74800327112	2.03166530323	2.03166530323	953687	2.78829644489	3.42634036128	3.42634036128	578405	1.8914745758	2.22727431724	2.22727431724	1373308	3.35161371341	3.96852094297	3.96852094297	614754	1.57607836516	1.73982067525	1.73982067525
